,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,14,left,left,middle,middle,4,5,1,1,0.9807435935416975
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,9,left,left,middle,middle,4,1,1,1,0.9281544678940279
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,15,left,left,index,index,2,1,2,2,0.9603348888278891
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,18,left,left,middle,middle,5,3,2,2,0.9562136885362051
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,18,right,right,middle,middle,3,4,1,1,0.9544138929088278
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,10,left,left,middle,middle,5,5,1,1,0.9548989113530326
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,11,left,left,middle,middle,1,5,2,2,0.9379833206974981
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,18,right,right,middle,middle,5,3,1,1,0.9311915887850467
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,16,right,right,middle,middle,1,5,1,1,0.9437861271676301
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,13,right,right,middle,middle,5,3,1,1,0.9437873585145619
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,7,right,right,middle,middle,2,5,2,2,0.9638533075978242
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,11,right,right,index,index,2,1,1,1,0.9512130801687764
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,17,right,right,index,index,2,4,1,1,0.9525125628140704
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,18,left,left,index,index,1,3,1,1,0.9587490692479523
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,19,left,left,index,index,4,5,1,1,0.9650163059590868
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,19,left,left,index,index,5,4,1,1,0.9635330005546312
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,18,left,left,index,index,5,4,1,1,0.9247203900200746
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,19,right,right,index,index,3,2,2,2,0.9397627965043696
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,12,right,right,index,index,2,5,1,1,0.9441133624685472
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,18,left,left,middle,middle,1,4,1,1,0.9612571118937957
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,19,left,left,index,index,3,3,2,2,0.9601510067114094
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,11,right,right,middle,middle,5,5,2,2,0.9417154874568123
22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,10,right,right,middle,middle,1,2,1,1,0.9451535012073129
23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,14,right,right,index,index,4,3,1,1,0.9413139763779528
24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,5,left,left,middle,middle,5,1,1,1,0.9689723021038292
25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,9,left,left,index,index,1,4,1,1,0.9516637980493402
26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,9,left,left,middle,middle,2,5,2,2,0.9510716925351071
27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,13,right,right,middle,middle,5,4,1,1,0.9422694094226941
28,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,5,left,left,middle,middle,3,1,1,1,0.9758114856429463
29,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,12,left,left,middle,middle,2,3,2,2,0.9693283976731888
30,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,19,left,left,index,index,1,5,1,1,0.96
31,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,4,left,left,index,index,2,2,2,2,0.9533399517798894
32,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,15,left,left,middle,middle,4,1,1,1,0.9636273864384464
33,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,14,left,left,index,index,3,5,1,1,0.9414838035527691
34,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,8,right,right,middle,middle,3,2,1,1,0.951725181598063
35,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,18,right,right,index,index,3,1,2,2,0.9430533695807698
36,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,18,right,right,index,index,1,5,2,2,0.9458319818358741
37,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,19,right,right,index,index,4,4,1,1,0.9295758545787127
38,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,14,right,right,index,index,1,4,2,2,0.934596301308074
39,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,19,left,left,index,index,1,1,2,2,0.9475846613545816
40,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,17,left,left,index,index,1,4,2,2,0.9380118432657175
41,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,16,right,right,middle,middle,2,3,2,2,0.9344762458230422
42,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,17,left,left,middle,middle,2,4,1,1,0.9639901930738584
43,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,16,left,left,middle,middle,3,4,2,2,0.953485002173598
44,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,12,left,left,index,index,3,1,1,1,0.9364069952305246
45,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,17,right,right,index,index,3,1,2,2,0.9470823798627003
46,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,16,right,right,index,index,3,4,1,1,0.930088733530519
47,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,18,right,right,index,index,3,4,2,2,0.9498352800239592
48,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,17,right,right,middle,middle,2,2,2,2,0.9569480618967366
49,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,1,right,right,index,index,4,2,2,2,0.9663707750085353
50,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,16,right,right,middle,middle,1,2,1,1,0.9546728402583161
51,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,8,left,left,middle,middle,5,3,1,1,0.957464553794829
52,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,5,right,right,middle,middle,5,3,1,1,0.9544513457556936
53,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,18,left,left,middle,middle,1,4,2,2,0.9539500337609723
54,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,18,left,left,index,index,4,4,2,2,0.9572368421052632
55,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,18,left,left,middle,middle,3,1,2,2,0.9633521961735382
56,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,6,left,left,index,index,1,3,1,1,0.9448165404775771
57,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,12,left,left,middle,middle,2,5,2,2,0.9356893363468256
58,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,19,left,left,index,index,2,5,1,1,0.94679186228482
59,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,8,right,right,index,index,5,1,1,1,0.9394024015638089
60,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,18,left,left,middle,middle,3,5,2,2,0.9482301574925932
61,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,8,left,left,index,index,5,3,1,1,0.9635263076206736
62,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,18,right,right,middle,middle,5,3,2,2,0.9657805845204875
63,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,19,left,left,index,index,3,2,2,2,0.9429227018499928
64,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,19,right,right,index,index,2,4,2,2,0.9379432624113475
65,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,8,left,left,index,index,2,2,2,2,0.938512869399428
66,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,15,left,left,index,index,4,1,1,1,0.9467120181405896
67,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,18,right,right,middle,middle,2,5,2,2,0.9550336531576686
68,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,15,right,right,middle,middle,5,4,2,2,0.9527904527904528
69,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,14,left,left,middle,middle,4,4,2,2,0.9542602147538698
70,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,3,left,left,index,index,1,3,2,2,0.9460554025595335
71,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,14,right,right,index,index,4,4,2,2,0.9243323442136498
72,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,16,right,right,index,index,4,4,2,2,0.9443642566592311
73,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,12,right,right,index,index,5,2,1,1,0.9583460018242627
74,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,13,right,right,middle,middle,1,2,2,2,0.943716268311488
75,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,7,right,right,index,index,5,4,1,1,0.9734801488833746
76,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,17,right,right,middle,middle,2,2,1,1,0.9445760926803581
77,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,7,left,left,middle,middle,2,5,1,1,0.9109540636042402
78,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,14,right,right,index,index,4,3,1,1,0.9422006564863707
79,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,8,right,right,middle,middle,2,2,2,2,0.9660505469634101
80,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,17,right,right,middle,middle,3,2,2,2,0.9404140717051002
81,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,15,right,right,index,index,1,4,2,2,0.9274061990212071
82,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,10,left,left,middle,middle,5,2,1,1,0.9433218334154756
83,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,11,right,right,index,index,5,4,2,2,0.9383252548888518
84,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,19,left,left,middle,middle,3,5,2,2,0.9508846857840146
85,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,12,right,right,middle,middle,5,5,1,1,0.9548223350253807
86,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,19,right,right,index,index,3,1,1,1,0.9510053154610585
87,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,6,left,left,middle,middle,2,3,1,1,0.9597513597513597
88,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,17,right,right,middle,middle,3,5,1,1,0.9337988826815642
89,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,17,left,left,index,index,5,5,2,2,0.947141625969549
90,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,4,left,left,middle,middle,5,1,1,1,0.9524393985885241
91,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,9,left,left,middle,middle,4,2,2,2,0.9181636726546907
92,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,12,left,left,middle,middle,3,2,1,1,0.9440421329822252
93,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,16,left,left,middle,middle,5,1,1,1,0.9503196590303676
94,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,5,right,right,middle,middle,5,3,2,2,0.9707927677329624
95,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,14,left,left,middle,middle,4,1,2,2,0.9231585328887542
96,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,15,right,right,middle,middle,2,1,2,2,0.9598060681889271
97,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,3,left,left,index,index,2,1,1,1,0.9563890100305277
98,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,17,left,left,middle,middle,4,2,2,2,0.9415079969535415
99,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,17,left,left,index,index,3,4,2,2,0.947753659767794
100,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,9,left,left,middle,middle,4,3,1,1,0.9486943164362519
101,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,3,left,left,middle,middle,5,1,1,1,0.9524500322372663
102,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,18,right,right,middle,middle,5,2,2,2,0.9658504301786897
103,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,8,left,left,middle,middle,4,4,2,2,0.9470404984423676
104,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,19,left,left,index,index,4,3,1,1,0.9454324979789814
105,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,14,left,left,middle,middle,4,1,2,2,0.9188292964244521
106,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,18,left,left,index,index,3,4,1,1,0.9531571218795889
107,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,19,left,left,index,index,1,5,1,1,0.9137326413241689
108,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,12,right,right,middle,middle,4,4,2,2,0.9573451002022431
109,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,6,left,left,index,index,2,1,1,1,0.9748562037797863
110,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,6,left,left,index,index,4,2,2,2,0.9451514380249427
111,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,19,right,right,index,index,5,2,2,2,0.9586521243692007
112,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,12,right,right,middle,middle,2,5,2,2,0.9345335515548281
113,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,7,right,right,middle,middle,4,2,2,2,0.9533842070338421
114,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,14,left,left,index,index,4,1,1,1,0.9419442556084296
115,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,16,left,left,middle,middle,3,2,1,1,0.9417409184372858
116,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,14,left,left,index,index,5,5,1,1,0.9457342657342658
117,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,18,right,right,middle,middle,2,2,1,1,0.9428395061728395
118,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,16,right,right,middle,middle,2,2,2,2,0.9278350515463918
119,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,12,left,left,index,index,3,2,1,1,0.93091202582728
120,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,19,right,right,index,index,1,1,2,2,0.9492429456297315
121,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,14,left,left,index,index,3,5,2,2,0.9280993920169178
122,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,14,left,left,index,index,4,5,1,1,0.9386151797603196
123,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,6,right,right,middle,middle,3,4,2,2,0.9520794358900562
124,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,13,left,left,index,index,2,2,2,2,0.9451916124367318
125,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,8,right,right,middle,middle,4,5,2,2,0.9523729384045776
126,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,10,right,right,middle,middle,2,1,1,1,0.9515248368624317
127,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,18,right,right,index,index,2,1,1,1,0.9320113314447592
128,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,9,left,left,middle,middle,2,3,2,2,0.9367028061224489
129,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,16,right,right,index,index,4,2,2,2,0.9289461849797631
130,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,10,right,right,index,index,4,2,2,2,0.9180196109950168
131,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,11,left,left,index,index,2,1,1,1,0.9568540852726346
132,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,15,left,left,middle,middle,5,1,2,2,0.9362677670793214
133,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,18,left,left,middle,middle,1,5,2,2,0.9680486284289277
134,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,17,right,right,middle,middle,5,3,1,1,0.9323298917775843
135,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,11,left,left,index,index,4,4,2,2,0.9544647387113141
136,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,19,right,right,index,index,3,3,2,2,0.9436377829820453
137,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,5,left,left,middle,middle,3,4,1,1,0.9578647235862506
138,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,15,left,left,index,index,3,3,2,2,0.9288358700123406
139,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,17,left,left,middle,middle,3,1,2,2,0.9443000974342319
140,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,17,right,right,middle,middle,3,5,1,1,0.945326979083929
141,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,5,right,right,index,index,5,1,1,1,0.9630884666585986
142,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,14,left,left,index,index,4,5,2,2,0.9561219127693116
143,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,19,left,left,index,index,5,3,2,2,0.9531341534856473
144,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,3,right,right,middle,middle,3,2,1,1,0.9330839567747299
145,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,16,right,right,index,index,4,4,1,1,0.9289497480945614
146,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,8,right,right,index,index,5,2,1,1,0.9581376626861666
147,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,19,left,left,index,index,1,4,1,1,0.965676883780332
148,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,19,left,left,index,index,2,2,2,2,0.9328937160589604
149,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,9,right,right,middle,middle,5,4,1,1,0.9605883192917322
150,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,9,right,right,middle,middle,4,4,2,2,0.9497771683236201
151,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,17,right,right,middle,middle,1,3,2,2,0.9457821719024079
152,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,18,19,right,right,middle,middle,5,3,2,2,0.9479641334705277
153,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,12,left,left,index,index,2,1,2,2,0.9464059642706428
154,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,17,18,right,right,index,index,3,1,2,2,0.9599374911208979
155,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,16,left,left,index,index,3,4,2,2,0.9571232876712329
156,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,7,left,left,index,index,2,4,2,2,0.9440264820944929
157,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,10,left,left,middle,middle,5,5,1,1,0.956322856721263
158,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,19,left,left,index,index,1,4,2,2,0.9342560553633218
159,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,14,left,left,middle,middle,2,4,1,1,0.9542348641347529
160,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,17,left,left,middle,middle,3,2,2,2,0.961670302274852
161,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,13,right,right,index,index,5,1,1,1,0.9473256601218687
162,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,16,left,left,middle,middle,3,3,1,1,0.9706549286381219
163,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,16,left,left,index,index,4,5,2,2,0.9494518012245479
164,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,5,right,right,index,index,4,4,1,1,0.9600353000504287
165,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,17,right,right,middle,middle,2,1,2,2,0.9392141138732959
166,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,7,left,left,index,index,3,5,2,2,0.952137316388843
167,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,4,left,left,index,index,1,5,1,1,0.9566718995290424
168,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,12,left,left,middle,middle,1,1,1,1,0.9588676884579294
169,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,15,left,left,middle,middle,4,1,1,1,0.9450059962309405
170,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,10,right,right,middle,middle,3,1,1,1,0.9621928166351607
171,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,14,right,right,index,index,5,3,2,2,0.9334968263127524
172,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,16,left,left,index,index,2,2,2,2,0.9532062391681109
173,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,12,left,left,middle,middle,4,2,2,2,0.9434585942936674
174,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,15,left,left,index,index,3,1,1,1,0.9531134173461824
175,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,14,right,right,index,index,2,3,1,1,0.9341552255533763
176,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,8,left,left,index,index,4,2,1,1,0.9672402382528127
177,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,6,right,right,middle,middle,2,2,1,1,0.9393532805581645
178,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,14,left,left,index,index,3,4,1,1,0.9382546652030735
179,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,18,right,right,index,index,3,4,1,1,0.9557562076749435
180,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,15,left,left,index,index,4,4,1,1,0.9379482382288743
181,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,8,left,left,index,index,4,4,2,2,0.9563598450997914
182,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,4,left,left,index,index,3,5,2,2,0.9619888002715086
183,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,11,right,right,middle,middle,2,1,1,1,0.9501829439909936
184,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,7,right,right,index,index,2,5,1,1,0.9395595814461971
185,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,8,left,left,index,index,3,3,1,1,0.959453161410595
186,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,9,left,left,middle,middle,3,3,1,1,0.9650943396226415
187,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,13,right,right,index,index,4,1,1,1,0.9416179089290257
188,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,6,left,left,index,index,5,5,1,1,0.9392205381998144
189,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,4,right,right,index,index,2,2,1,1,0.953579418344519
190,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,14,left,left,index,index,1,3,2,2,0.9262641406569443
191,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,9,left,left,index,index,3,3,2,2,0.9365573770491803
192,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,8,left,left,index,index,1,2,1,1,0.9607843137254902
193,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,9,right,right,index,index,4,4,1,1,0.9482617027101012
194,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,12,left,left,middle,middle,2,4,2,2,0.9658411614005123
195,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,18,left,left,middle,middle,2,1,1,1,0.9556250888920494
196,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,18,left,left,middle,middle,2,3,1,1,0.9572287510248702
197,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,19,left,left,middle,middle,2,4,1,1,0.9455291222313371
198,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,9,left,left,index,index,4,3,2,2,0.9579856536378275
199,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,13,right,right,index,index,1,2,1,1,0.9441873510026644
200,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,17,left,left,middle,middle,3,5,1,1,0.9583141055222274
201,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,14,right,right,middle,middle,3,2,2,2,0.9353846153846154
202,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,19,left,left,index,index,4,3,1,1,0.9570284049526584
203,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,6,right,right,middle,middle,4,1,1,1,0.9364475828354155
204,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,7,right,right,index,index,4,2,2,2,0.9291306966472596
